3(L)                        494_bus    494 | 5.366e+07 3.785e+07 (J: 6.374e+07) 1.417781 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       odepa400    400 | 2.504e+07 1.595e+07 (J: 1.601e+07) 1.569641 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       odepb400    400 | 1.000e+00 1.000e+00 (J: 1.000e+00) 1.000000 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         olm100    100 | 4.480e+07 3.162e+07 (J: 5.322e+07) 1.416751 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         olm500    500 | 3.185e+07 3.159e+07 (J: 6.098e+07) 1.008489 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         pde225    225 | 1.526e+03 9.913e+02 (J: 1.009e+03) 1.539323 T: 0.000000 || -1.000(-1) -1.000 
2(L)                          rw136    136 | 1.302e+06 5.427e+05 (J: 8.482e+05) 2.398362 T: 0.000000 || -1.000(-1) -1.000 
3(L)                          rw496    496 | 1.315e+06 8.322e+05 (J: 1.325e+06) 1.580395 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       cavity01    317 | 3.947e+07 6.467e+04 (J: 1.104e+05) 610.242322 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       cavity02    317 | 1.823e+07 3.743e+04 (J: 6.269e+04) 486.950638 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       cavity03    317 | 1.709e+07 5.320e+04 (J: 1.010e+05) 321.211043 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       cavity04    317 | 1.966e+07 9.305e+04 (J: 1.743e+05) 211.325139 T: 0.000000 || -1.000(-1) -1.000 
1(L)                            ex1    216 | 1.695e+04 7.532e+01 (J: 8.818e+01) 225.024791 T: 0.000000 || -1.000(-1) -1.000 
3(L)                            ex5     27 | 3.457e+07 3.457e+07 (J: 7.392e+07) 1.000004 T: 0.000000 || -1.000(-1) -1.000 
1(L)                          b1_ss      7 | 3.896e+04 7.115e+01 (J: 7.581e+01) 547.530861 T: 0.000000 || -1.000(-1) -1.000 
3(L)                          d_dyn     87 | 4.941e+07 2.730e+07 (J: 5.370e+07) 1.810098 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         d_dyn1     87 | 3.799e+07 2.335e+07 (J: 4.598e+07) 1.627108 T: 0.000000 || -1.000(-1) -1.000 
3(L)                           d_ss     53 | 3.798e+07 2.438e+07 (J: 3.591e+07) 1.557814 T: 0.000000 || -1.000(-1) -1.000 
3(L)                    lp_adlittle    138 | 2.077e+07 2.000e+07 (J: 5.740e+07) 1.038347 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       lp_afiro     51 | 2.299e+07 1.728e+07 (J: 2.240e+07) 1.330355 T: 0.000000 || -1.000(-1) -1.000 
2(L)                       lp_bandm    472 | 1.055e+07 4.604e+06 (J: 1.481e+07) 2.292173 T: 0.000000 || -1.000(-1) -1.000 
3(L)                    lp_beaconfd    295 | 8.045e+06 5.417e+06 (J: 3.167e+07) 1.485236 T: 0.000000 || -1.000(-1) -1.000 
2(L)                       lp_blend    114 | 1.085e+07 2.707e+06 (J: 4.689e+06) 4.010358 T: 0.000000 || -1.000(-1) -1.000 
2(L)                      lp_bore3d    334 | 5.691e+06 1.697e+06 (J: 1.527e+07) 3.354005 T: 0.000000 || -1.000(-1) -1.000 
2(L)                      lp_brandy    303 | 6.339e+06 1.302e+06 (J: 9.341e+06) 4.867813 T: 0.000000 || -1.000(-1) -1.000 
2(L)                       lp_capri    482 | 8.905e+06 1.838e+06 (J: 9.499e+06) 4.846103 T: 0.000000 || -1.000(-1) -1.000 
2(L)                        lp_e226    472 | 7.518e+06 2.881e+06 (J: 7.345e+07) 2.609009 T: 0.000000 || -1.000(-1) -1.000 
2(L)                      lp_israel    316 | 2.213e+07 1.049e+07 (J: 8.211e+07) 2.109773 T: 0.000000 || -1.000(-1) -1.000 
3(L)                         lp_kb2     68 | 2.378e+07 1.602e+07 (J: 3.134e+07) 1.484312 T: 0.000000 || -1.000(-1) -1.000 
2(L)                       lp_lotfi    366 | 3.101e+06 1.477e+06 (J: 2.984e+07) 2.099012 T: 0.000000 || -1.000(-1) -1.000 
2(L)                      lp_recipe    204 | 1.180e+07 5.049e+06 (J: 9.718e+06) 2.336416 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       lp_sc105    163 | 1.681e+07 1.422e+07 (J: 1.942e+07) 1.182232 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       lp_sc205    317 | 1.682e+07 1.429e+07 (J: 1.949e+07) 1.176646 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       lp_sc50a     78 | 1.676e+07 1.393e+07 (J: 1.908e+07) 1.202595 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       lp_sc50b     78 | 1.505e+07 1.230e+07 (J: 1.694e+07) 1.223465 T: 0.000000 || -1.000(-1) -1.000 
1(L)                      lp_scagr7    185 | 1.053e+07 1.762e+06 (J: 2.693e+06) 5.975726 T: 0.000000 || -1.000(-1) -1.000 
3(L)                    lp_scorpion    466 | 7.188e+06 5.144e+06 (J: 8.973e+06) 1.397286 T: 0.000000 || -1.000(-1) -1.000 
3(L)                     lp_share1b    253 | 1.991e+07 1.303e+07 (J: 1.077e+08) 1.528628 T: 0.000000 || -1.000(-1) -1.000 
3(L)                     lp_share2b    162 | 2.101e+07 1.341e+07 (J: 2.775e+07) 1.566727 T: 0.000000 || -1.000(-1) -1.000 
3(L)                    lp_stocfor1    165 | 1.460e+07 9.765e+06 (J: 2.154e+07) 1.495242 T: 0.000000 || -1.000(-1) -1.000 
1(L)                    lp_vtp_base    346 | 2.890e+07 6.588e+04 (J: 5.285e+05) 438.648362 T: 0.000000 || -1.000(-1) -1.000 
1(L)                     lpi_bgprtr     40 | 2.497e+07 6.519e+05 (J: 1.091e+06) 38.298681 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       lpi_box1    261 | 3.616e+07 2.133e+07 (J: 4.128e+07) 1.694851 T: 0.000000 || -1.000(-1) -1.000 
3(L)                     lpi_cplex2    378 | 1.344e+07 8.541e+06 (J: 1.189e+07) 1.573890 T: 0.000000 || -1.000(-1) -1.000 
3(L)                      lpi_ex72a    215 | 8.578e+06 5.968e+06 (J: 9.181e+06) 1.437366 T: 0.000000 || -1.000(-1) -1.000 
3(L)                      lpi_ex73a    211 | 8.578e+06 5.968e+06 (J: 8.855e+06) 1.437341 T: 0.000000 || -1.000(-1) -1.000 
3(L)                    lpi_forest6    131 | 7.137e+06 7.003e+06 (J: 8.160e+06) 1.019089 T: 0.000000 || -1.000(-1) -1.000 
3(L)                    lpi_galenet     14 | 5.895e+06 5.343e+06 (J: 6.323e+06) 1.103433 T: 0.000000 || -1.000(-1) -1.000 
2(L)                     lpi_itest2     13 | 1.786e+07 5.948e+06 (J: 6.415e+06) 3.002817 T: 0.000000 || -1.000(-1) -1.000 
3(L)                     lpi_itest6     17 | 1.124e+07 6.547e+06 (J: 7.369e+06) 1.716818 T: 0.000000 || -1.000(-1) -1.000 
2(L)                     lpi_klein1    108 | 1.431e+07 2.892e+06 (J: 5.145e+06) 4.949009 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       lpi_qual    464 | 2.440e+07 1.233e+05 (J: 4.093e+05) 197.859216 T: 0.000000 || -1.000(-1) -1.000 
1(L)                   lpi_refinery    464 | 2.440e+07 1.154e+05 (J: 3.669e+05) 211.455648 T: 0.000000 || -1.000(-1) -1.000 
1(L)                       lpi_vol1    464 | 2.440e+07 1.233e+05 (J: 4.093e+05) 197.859216 T: 0.000000 || -1.000(-1) -1.000 
3(L)                   lpi_woodinfe     89 | 8.685e+06 8.624e+06 (J: 1.008e+07) 1.007147 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       lp_nug06    486 | 5.863e+06 5.860e+06 (J: 8.000e+06) 1.000514 T: 0.000000 || -1.000(-1) -1.000 
2(L)                         utm300    300 | 5.520e+06 2.602e+06 (J: 5.520e+06) 2.121460 T: 0.000000 || -1.000(-1) -1.000 
1(L)                         pivtol    102 | 1.201e+04 6.731e+02 (J: 6.756e+02) 17.848754 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        mesh1e1     48 | 2.756e+01 1.500e+01 (J: 1.832e+01) 1.837200 T: 0.000000 || -1.000(-1) -1.000 
2(L)                       mesh1em1     48 | 3.609e+02 1.553e+02 (J: 1.634e+02) 2.324321 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       mesh1em6     48 | 3.731e+01 2.348e+01 (J: 2.422e+01) 1.589310 T: 0.000000 || -1.000(-1) -1.000 
2(L)                        mesh2e1    306 | 8.431e+04 1.934e+04 (J: 2.331e+04) 4.358839 T: 0.000000 || -1.000(-1) -1.000 
2(L)                       mesh2em5    306 | 6.085e+04 2.221e+04 (J: 2.448e+04) 2.739840 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        mesh3e1    289 | 7.970e+01 7.367e+01 (J: 7.371e+01) 1.081843 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       mesh3em5    289 | 2.466e+01 2.383e+01 (J: 2.384e+01) 1.034711 T: 0.000000 || -1.000(-1) -1.000 
2(L)                        sphere2     66 | 4.729e+07 2.100e+07 (J: 4.810e+07) 2.251857 T: 0.000000 || -1.000(-1) -1.000 
3(L)                        sphere3    258 | 2.431e+07 2.247e+07 (J: 2.439e+07) 1.081965 T: 0.000000 || -1.000(-1) -1.000 
3(L)                          cage3      5 | 3.552e+02 2.324e+02 (J: 2.826e+02) 1.528437 T: 0.000000 || -1.000(-1) -1.000 
3(L)                          cage4      9 | 3.749e+02 2.332e+02 (J: 2.662e+02) 1.608050 T: 0.000000 || -1.000(-1) -1.000 
3(L)                          cage5     37 | 2.377e+02 1.446e+02 (J: 1.623e+02) 1.643408 T: 0.000000 || -1.000(-1) -1.000 
2(L)                          cage6     93 | 1.305e+02 5.598e+01 (J: 6.216e+01) 2.331727 T: 0.000000 || -1.000(-1) -1.000 
2(L)                          cage7    340 | 1.709e+02 7.342e+01 (J: 9.425e+01) 2.327213 T: 0.000000 || -1.000(-1) -1.000 
3(L)                      poisson2D    367 | 1.762e+04 1.287e+04 (J: 1.458e+04) 1.369624 T: 0.000000 || -1.000(-1) -1.000 
3(L)                       problem1    415 | 4.188e+07 2.802e+07 (J: 3.407e+07) 1.494783 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_01    430 | 5.827e+07 5.820e+07 (J: 1.423e+08) 1.001130 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_02    430 | 5.827e+07 5.820e+07 (J: 1.403e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_03    430 | 5.827e+07 5.820e+07 (J: 1.416e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_04    430 | 5.827e+07 5.820e+07 (J: 1.421e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_05    430 | 5.827e+07 5.820e+07 (J: 1.422e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_06    430 | 5.827e+07 5.820e+07 (J: 1.402e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_07    430 | 5.827e+07 5.826e+07 (J: 1.415e+08) 1.000132 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_08    430 | 5.827e+07 5.820e+07 (J: 1.421e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
3(L)                  oscil_dcop_09    430 | 5.827e+07 5.820e+07 (J: 1.423e+08) 1.001129 T: 0.000000 || -1.000(-1) -1.000 
