3(L)                        494_bus    494 5.366e+07 3.773e+07 6.374e+07 0.296891 0.000000 | 0.000 0.000 | 0 0
3(L)                        dwt_198    198 3.397e+07 1.963e+07 3.034e+07 0.422230 0.000000 | 0.000 0.000 | 0 0
1(L)                        dwt_209    209 5.449e+07 9.330e+06 3.408e+07 0.828784 0.000000 | 0.000 0.000 | 0 0
2(L)                        dwt_221    221 6.762e+07 2.201e+07 5.672e+07 0.674442 0.000000 | 0.000 0.000 | 0 0
2(L)                        dwt_234    234 1.042e+05 4.006e+04 8.153e+04 0.615561 0.000000 | 4.036 0.053 | 383 974
2(L)                        dwt_245    245 3.634e+07 1.218e+07 3.336e+07 0.664825 0.000000 | 0.000 0.000 | 0 0
3(L)                        dwt_307    307 2.499e+07 2.276e+07 2.565e+07 0.089230 0.000000 | 0.000 0.000 | 0 0
2(L)                        dwt_310    310 1.069e+07 5.251e+06 9.304e+06 0.508690 0.000000 | 0.000 0.000 | 0 0
1(L)                        dwt_346    346 4.967e+07 4.011e+06 2.357e+07 0.919252 0.000000 | 0.000 0.000 | 0 0
3(L)                        dwt_361    361 3.879e+07 2.166e+07 3.706e+07 0.441465 0.000000 | 0.000 0.000 | 0 0
3(L)                        dwt_419    419 2.180e+07 1.431e+07 2.549e+07 0.343696 0.000000 | 0.000 0.000 | 0 0
2(L)                        dwt_492    492 3.047e+07 1.301e+07 2.418e+07 0.572926 0.000000 | 0.000 0.000 | 0 0
2(L)                        dwt_503    503 4.799e+07 1.134e+07 4.300e+07 0.763772 0.000000 | 0.000 0.000 | 0 0
2(L)                        dwt_512    512 3.240e+07 9.612e+06 2.251e+07 0.703335 0.000000 | 0.000 0.000 | 0 0
3(L)                         dwt_59     59 1.395e+04 8.580e+03 1.226e+04 0.384885 0.000000 | 0.332 0.006 | 107 116
3(L)                        dwt_592    592 3.249e+07 1.907e+07 2.893e+07 0.413091 0.000000 | 0.000 0.000 | 0 0
3(L)                         dwt_66     66 2.234e+04 1.530e+04 2.160e+04 0.314936 0.000000 | 0.388 0.006 | 125 135
2(L)                         dwt_72     72 1.220e+07 5.763e+06 9.623e+06 0.527499 0.000000 | 0.000 0.000 | 0 0
2(L)                         dwt_87     87 1.024e+04 5.077e+03 8.223e+03 0.504366 0.000000 | 0.611 0.010 | 149 190
1(L)                       fs_541_1    541 1.996e+07 1.792e+04 1.828e+04 0.999102 0.000000 | 6.924 0.512 | 34 594
1(L)                       fs_541_2    541 4.196e+07 2.225e+01 2.454e+01 0.999999 0.000000 | 0.489 0.525 | 410 37
1(L)                       fs_541_3    541 7.301e+07 2.798e+01 3.340e+01 1.000000 0.000000 | 0.559 0.477 | 534 43
1(L)                       fs_541_4    541 3.544e+07 3.593e+01 5.089e+01 0.999999 0.000000 | 0.605 0.498 | 675 47
2(L)                        gent113    113 3.203e+07 8.757e+06 1.758e+07 0.726609 0.000000 | 0.000 0.000 | 0 0
3(L)                        gre_115    115 2.467e+03 1.835e+03 2.332e+03 0.256268 0.000000 | 0.431 0.016 | 99 129
3(L)                        gre_185    185 1.230e+06 9.805e+05 1.313e+06 0.202757 0.000000 | 6.320 0.035 | 455 1408
3(L)                       gre_216a    216 1.061e+04 9.002e+03 1.145e+04 0.151722 0.000000 | 0.900 0.046 | 197 209
3(L)                        gre_343    343 1.254e+04 9.442e+03 1.288e+04 0.246972 0.000000 | 2.209 0.108 | 273 392
3(L)                        gre_512    512 2.506e+04 2.102e+04 2.503e+04 0.161389 0.000000 | 3.950 0.485 | 374 502
1(L)                        hor_131    434 4.365e+05 8.362e+04 3.197e+05 0.808423 0.000000 | 23.170 0.221 | 2211 2005
3(L)                          ibm32     32 1.633e+05 8.383e+04 1.248e+05 0.486670 0.000000 | 0.156 0.003 | 42 50
3(L)                       impcol_a    207 2.233e+07 1.613e+07 1.202e+07 0.277622 0.000000 | 0.000 0.000 | 0 0
1(L)                       impcol_b     59 3.727e+07 1.754e+06 4.031e+06 0.952948 0.000000 | 0.000 0.000 | 0 0
1(L)                       impcol_c    137 4.736e+07 3.128e+04 6.180e+04 0.999339 0.000000 | 1.181 0.021 | 200 369
1(L)                       impcol_d    425 4.250e+06 4.157e+05 8.524e+05 0.902187 0.000000 | 16.016 0.214 | 808 2758
1(L)                       impcol_e    225 2.384e+07 2.028e+01 2.922e+01 0.999999 0.000000 | 0.241 0.050 | 228 40
3(L)                       lshp_265    265 1.927e+06 1.145e+06 1.804e+06 0.405525 0.000000 | 0.000 0.000 | 0 0
3(L)                       lshp_406    406 1.230e+06 9.028e+05 1.148e+06 0.265790 0.000000 | 10.675 0.145 | 1231 1409
3(L)                       lshp_577    577 2.407e+07 1.611e+07 2.312e+07 0.330372 0.000000 | 0.000 0.000 | 0 0
1(L)                         lund_b    147 4.977e+07 9.277e+04 1.431e+05 0.998136 0.000000 | 4.655 0.024 | 3127 834
3(L)                        mbeacxc    496 2.857e+06 2.172e+06 1.894e+07 0.239616 0.000000 | 0.000 0.000 | 0 0
1(L)                        mbeaflw    496 5.820e+06 1.068e+05 3.381e+06 0.981656 0.000000 | 79.224 0.406 | 4696 1234
1(L)                        mbeause    496 7.052e+06 1.249e+05 4.015e+06 0.982292 0.000000 | 83.768 0.397 | 4694 1355
2(L)                         nnc261    261 1.652e+07 3.333e+06 5.758e+06 0.798272 0.000000 | 0.000 0.000 | 0 0
2(L)                           nos4    100 2.492e+06 1.096e+06 1.136e+06 0.559997 0.000000 | 0.000 0.000 | 0 0
1(L)                           nos5    468 2.975e+07 1.447e+06 1.555e+06 0.951367 0.000000 | 0.000 0.000 | 0 0
3(L)                        plat362    362 5.995e+05 5.944e+05 7.967e+05 0.008550 0.000000 | 17.974 0.117 | 496 1484
3(L)                       plskz362    362 7.743e+05 6.933e+05 8.058e+05 0.104524 0.000000 | 23.296 0.120 | 1102 3522
1(L)                        pores_1     30 2.774e+07 4.481e+06 7.514e+06 0.838435 0.000000 | 0.000 0.000 | 0 0
3(L)                        pores_3    532 4.186e+07 2.979e+07 4.109e+07 0.288332 0.000000 | 0.000 0.000 | 0 0
1(L)                          str_0    363 7.511e+04 1.470e+04 4.686e+03 0.804285 0.000000 | 0.058 0.128 | 3 0
1(L)                        str_200    363 1.371e+07 4.065e+05 7.715e+05 0.970347 0.000000 | 23.531 0.119 | 649 2955
2(L)                        str_400    363 1.912e+07 5.322e+06 1.067e+06 0.721693 0.000000 | 0.000 0.000 | 0 0
1(L)                        str_600    363 1.184e+07 4.537e+05 1.212e+06 0.961681 0.000000 | 31.510 0.120 | 1283 3821
2(L)                       west0067     67 1.696e+04 5.903e+03 7.326e+03 0.651885 0.000000 | 0.297 0.007 | 114 95
1(L)                       west0132    132 4.772e+07 4.199e+02 7.208e+02 0.999991 0.000000 | 0.164 0.019 | 116 38
1(L)                       west0167    167 4.772e+07 8.476e+02 1.147e+03 0.999982 0.000000 | 0.254 0.029 | 153 60
1(L)                       west0381    381 2.245e+07 2.068e+02 4.687e+02 0.999991 0.000000 | 1.191 0.131 | 1469 107
1(L)                       west0479    479 4.737e+07 1.252e+03 2.064e+03 0.999974 0.000000 | 0.782 0.339 | 405 91
1(L)                       west0497    497 5.540e+07 2.286e+03 4.163e+03 0.999959 0.000000 | 0.788 0.398 | 278 79
3(L)                        will199    199 1.926e+07 1.085e+07 1.553e+07 0.436279 0.000000 | 0.000 0.000 | 0 0
3(L)                         will57     57 3.781e+07 2.533e+07 6.034e+07 0.330104 0.000000 | 0.000 0.000 | 0 0
1(L)                            wm1    277 2.135e+07 7.922e+03 6.662e+04 0.999629 0.000000 | 6.773 0.074 | 239 420
1(L)                            wm2    260 6.315e+06 4.230e+05 5.324e+06 0.933014 0.000000 | 34.312 0.063 | 312 2261
1(L)                            wm3    260 9.514e+06 9.065e+05 1.103e+07 0.904718 0.000000 | 45.479 0.063 | 342 2971
1(L)                        bfwa398    398 8.959e+06 1.682e+06 1.791e+06 0.812196 0.000000 | 0.000 0.000 | 0 0
1(L)                         bfwa62     62 3.059e+05 5.152e+04 5.508e+04 0.831580 0.000000 | 0.321 0.006 | 127 100
3(L)                        bfwb398    398 4.465e+02 3.273e+02 2.912e+01 0.267011 0.000000 | 0.280 0.140 | 4 0
1(L)                         bfwb62     62 2.958e+02 2.676e+01 2.729e+01 0.909552 0.000000 | 0.144 0.006 | 78 37
3(L)                         bwm200    200 5.820e+06 3.290e+06 3.292e+06 0.434761 0.000000 | 0.000 0.000 | 0 0
1(L)                          ck104    104 2.987e+07 1.143e+06 1.406e+06 0.961728 0.000000 | 0.000 0.000 | 0 0
1(L)                          ck400    400 3.284e+07 1.001e+06 1.210e+06 0.969527 0.000000 | 0.000 0.000 | 0 0
1(L)                         dw256A    512 5.617e+06 8.977e+05 1.101e+06 0.840176 0.000000 | 11.530 0.473 | 2422 1455
2(L)                         dw256B    512 1.393e+01 4.005e+00 3.538e+00 0.712596 0.000000 | 0.060 0.428 | 1 0
2(L)                         lop163    163 1.281e+06 5.703e+05 7.108e+05 0.554680 0.000000 | 5.271 0.028 | 112 1274
1(L)                        mhda416    416 2.466e+07 3.819e+05 1.990e+06 0.984513 0.000000 | 7.704 0.200 | 570 520
1(L)                        mhdb416    416 4.824e+06 5.071e+01 6.303e+01 0.999989 0.000000 | 0.318 0.215 | 1914 44
3(L)                       odepa400    400 2.504e+07 1.593e+07 1.601e+07 0.363637 0.000000 | 0.000 0.000 | 0 0
3(L)                       odepb400    400 1.000e+00 1.000e+00 1.000e+00 0.000000 0.000000 | 0.051 0.141 | 1 1
3(L)                         olm100    100 4.480e+07 3.092e+07 5.322e+07 0.309857 0.000000 | 0.000 0.000 | 0 0
3(L)                         olm500    500 3.185e+07 3.146e+07 6.098e+07 0.012234 0.000000 | 0.000 0.000 | 0 0
3(L)                         pde225    225 1.526e+03 9.913e+02 1.009e+03 0.350364 0.000000 | 0.559 0.051 | 133 122
1(L)                        rbsa480    480 5.333e+06 7.129e+05 1.213e+06 0.866327 0.000000 | 73.618 0.392 | 4776 2935
2(L)                        rbsb480    480 1.038e+07 2.140e+06 3.135e+06 0.793806 0.000000 | 0.000 0.000 | 0 0
2(L)                          rw136    136 1.302e+06 5.420e+05 8.482e+05 0.583550 0.000000 | 3.240 0.022 | 308 1010
3(L)                          rw496    496 1.315e+06 8.306e+05 1.325e+06 0.368444 0.000000 | 22.265 0.402 | 919 3024
3(L)                         tub100    100 4.427e+07 4.254e+07 4.311e+07 0.039051 0.000000 | 0.000 0.000 | 0 0
3(L)                       bcsstk34    588 4.259e+07 2.788e+07 1.472e+05 0.345321 0.000000 | 0.000 0.000 | 0 0
1(L)                       bcsstm34    588 7.782e+06 6.861e+04 1.378e+05 0.991183 0.000000 | 77.309 0.549 | 7475 1907
1(L)                       cavity01    317 3.947e+07 6.467e+04 1.104e+05 0.998361 0.000000 | 12.508 0.093 | 2232 795
1(L)                       cavity02    317 1.823e+07 3.743e+04 6.269e+04 0.997946 0.000000 | 6.700 0.093 | 1315 462
1(L)                       cavity03    317 1.709e+07 5.320e+04 1.010e+05 0.996887 0.000000 | 11.840 0.093 | 1763 676
1(L)                       cavity04    317 1.966e+07 9.305e+04 1.743e+05 0.995268 0.000000 | 12.606 0.093 | 1065 870
1(L)                            ex1    216 1.695e+04 7.532e+01 8.818e+01 0.995556 0.000000 | 1.012 0.046 | 408 75
3(L)                            ex5     27 3.457e+07 3.443e+07 7.392e+07 0.004130 0.000000 | 0.000 0.000 | 0 0
3(L)                          d_dyn     87 4.941e+07 2.718e+07 5.370e+07 0.449806 0.000000 | 0.000 0.000 | 0 0
3(L)                         d_dyn1     87 3.799e+07 2.324e+07 4.598e+07 0.388401 0.000000 | 0.000 0.000 | 0 0
3(L)                           d_ss     53 3.798e+07 2.418e+07 3.591e+07 0.363336 0.000000 | 0.000 0.000 | 0 0
3(L)                    lp_adlittle    138 2.077e+07 1.976e+07 5.740e+07 0.048207 0.000000 | 0.000 0.000 | 0 0
3(L)                       lp_afiro     51 2.299e+07 1.711e+07 2.240e+07 0.255975 0.000000 | 0.000 0.000 | 0 0
2(L)                       lp_bandm    472 1.055e+07 4.584e+06 1.481e+07 0.565650 0.000000 | 0.000 0.000 | 0 0
3(L)                    lp_beaconfd    295 8.045e+06 5.414e+06 3.167e+07 0.327030 0.000000 | 0.000 0.000 | 0 0
2(L)                       lp_blend    114 1.085e+07 2.700e+06 4.689e+06 0.751234 0.000000 | 0.000 0.000 | 0 0
2(L)                      lp_bore3d    334 5.691e+06 1.693e+06 1.527e+07 0.702497 0.000000 | 0.000 0.000 | 0 0
2(L)                      lp_brandy    303 6.339e+06 1.301e+06 9.341e+06 0.794797 0.000000 | 0.000 0.000 | 0 0
2(L)                       lp_capri    482 8.905e+06 1.826e+06 9.499e+06 0.794970 0.000000 | 0.000 0.000 | 0 0
2(L)                        lp_e226    472 7.518e+06 2.876e+06 7.345e+07 0.617431 0.000000 | 0.000 0.000 | 0 0
3(L)                      lp_israel    316 2.213e+07 1.540e+07 8.211e+07 0.303837 0.000000 | 0.000 0.000 | 0 0
3(L)                         lp_kb2     68 2.378e+07 1.584e+07 3.134e+07 0.333936 0.000000 | 0.000 0.000 | 0 0
2(L)                       lp_lotfi    366 3.101e+06 1.475e+06 2.984e+07 0.524448 0.000000 | 0.000 0.000 | 0 0
2(L)                      lp_recipe    204 1.180e+07 5.032e+06 9.718e+06 0.573445 0.000000 | 0.000 0.000 | 0 0
3(L)                       lp_sc105    163 1.681e+07 1.418e+07 1.942e+07 0.155977 0.000000 | 0.000 0.000 | 0 0
3(L)                       lp_sc205    317 1.682e+07 1.424e+07 1.949e+07 0.153231 0.000000 | 0.000 0.000 | 0 0
3(L)                       lp_sc50a     78 1.676e+07 1.390e+07 1.908e+07 0.170654 0.000000 | 0.000 0.000 | 0 0
3(L)                       lp_sc50b     78 1.505e+07 1.227e+07 1.694e+07 0.184765 0.000000 | 0.000 0.000 | 0 0
1(L)                      lp_scagr7    185 1.053e+07 1.761e+06 2.693e+06 0.832777 0.000000 | 0.000 0.000 | 0 0
3(L)                      lp_scfxm1    600 1.569e+07 1.161e+07 2.577e+07 0.260066 0.000000 | 0.000 0.000 | 0 0
3(L)                    lp_scorpion    466 7.188e+06 5.136e+06 8.973e+06 0.285497 0.000000 | 0.000 0.000 | 0 0
3(L)                     lp_share1b    253 1.991e+07 1.298e+07 1.077e+08 0.348287 0.000000 | 0.000 0.000 | 0 0
3(L)                     lp_share2b    162 2.101e+07 1.321e+07 2.775e+07 0.371176 0.000000 | 0.000 0.000 | 0 0
3(L)                    lp_stocfor1    165 1.460e+07 9.642e+06 2.154e+07 0.339626 0.000000 | 0.000 0.000 | 0 0
1(L)                    lp_vtp_base    346 2.890e+07 6.588e+04 5.285e+05 0.997720 0.000000 | 7.335 0.116 | 984 923
1(L)                     lpi_bgprtr     40 2.497e+07 6.505e+05 1.091e+06 0.973943 0.000000 | 0.505 0.004 | 33 210
3(L)                       lpi_box1    261 3.616e+07 2.108e+07 4.128e+07 0.416908 0.000000 | 0.000 0.000 | 0 0
3(L)                     lpi_cplex2    378 1.344e+07 8.448e+06 1.189e+07 0.371548 0.000000 | 0.000 0.000 | 0 0
3(L)                      lpi_ex72a    215 8.578e+06 5.964e+06 9.181e+06 0.304744 0.000000 | 0.000 0.000 | 0 0
3(L)                      lpi_ex73a    211 8.578e+06 5.968e+06 8.855e+06 0.304278 0.000000 | 0.000 0.000 | 0 0
3(L)                    lpi_forest6    131 7.137e+06 7.003e+06 8.160e+06 0.018793 0.000000 | 0.000 0.000 | 0 0
3(L)                    lpi_galenet     14 5.895e+06 5.324e+06 6.323e+06 0.096880 0.000000 | 0.000 0.000 | 0 0
2(L)                     lpi_itest2     13 1.786e+07 5.946e+06 6.415e+06 0.667043 0.000000 | 0.000 0.000 | 0 0
3(L)                     lpi_itest6     17 1.124e+07 6.547e+06 7.369e+06 0.417575 0.000000 | 0.000 0.000 | 0 0
2(L)                     lpi_klein1    108 1.431e+07 2.869e+06 5.145e+06 0.799539 0.000000 | 0.000 0.000 | 0 0
1(L)                     lpi_klein2    531 1.760e+07 3.598e+05 5.694e+05 0.979560 0.000000 | 15.265 0.549 | 360 1397
1(L)                       lpi_qual    464 2.440e+07 1.233e+05 4.093e+05 0.994946 0.000000 | 5.219 0.334 | 1316 721
1(L)                   lpi_refinery    464 2.440e+07 1.154e+05 3.669e+05 0.995271 0.000000 | 4.800 0.300 | 1385 670
1(L)                       lpi_vol1    464 2.440e+07 1.233e+05 4.093e+05 0.994946 0.000000 | 5.230 0.288 | 1304 718
3(L)                   lpi_woodinfe     89 8.685e+06 8.619e+06 1.008e+07 0.007664 0.000000 | 0.000 0.000 | 0 0
3(L)                       lp_nug05    225 9.453e+06 9.445e+06 1.167e+07 0.000832 0.000000 | 0.000 0.000 | 0 0
3(L)                       lp_nug06    486 5.863e+06 5.862e+06 8.000e+06 0.000082 0.000000 | 0.000 0.000 | 0 0
2(L)                         utm300    300 5.520e+06 2.591e+06 5.520e+06 0.530525 0.000000 | 0.000 0.000 | 0 0
1(L)                         pivtol    102 1.201e+04 6.731e+02 6.756e+02 0.943974 0.000000 | 0.259 0.013 | 65 80
3(L)                        mesh1e1     48 2.756e+01 1.500e+01 1.832e+01 0.455693 0.000000 | 0.116 0.005 | 35 29
2(L)                       mesh1em1     48 3.609e+02 1.553e+02 1.634e+02 0.569767 0.000000 | 0.185 0.005 | 74 57
3(L)                       mesh1em6     48 3.731e+01 2.348e+01 2.422e+01 0.370796 0.000000 | 0.132 0.004 | 39 36
2(L)                        mesh2e1    306 8.431e+04 1.934e+04 2.331e+04 0.770582 0.000000 | 5.051 0.086 | 833 823
2(L)                       mesh2em5    306 6.085e+04 2.221e+04 2.448e+04 0.635019 0.000000 | 3.438 0.086 | 434 559
3(L)                        mesh3e1    289 7.970e+01 7.367e+01 7.371e+01 0.075652 0.000000 | 0.406 0.079 | 77 72
3(L)                       mesh3em5    289 2.466e+01 2.383e+01 2.384e+01 0.033547 0.000000 | 0.232 0.079 | 40 37
2(L)                        sphere2     66 4.729e+07 2.100e+07 4.810e+07 0.555919 0.000000 | 0.000 0.000 | 0 0
3(L)                        sphere3    258 2.431e+07 2.246e+07 2.439e+07 0.075870 0.000000 | 0.000 0.000 | 0 0
3(L)                          cage5     37 2.377e+02 1.446e+02 1.623e+02 0.391509 0.000000 | 0.129 0.003 | 35 36
2(L)                          cage6     93 1.305e+02 5.598e+01 6.216e+01 0.571133 0.000000 | 0.164 0.011 | 39 33
2(L)                          cage7    340 1.709e+02 7.342e+01 9.425e+01 0.570302 0.000000 | 0.547 0.104 | 64 49
3(L)                       problem1    415 4.188e+07 2.802e+07 3.407e+07 0.330968 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_01    430 5.827e+07 5.820e+07 1.423e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_02    430 5.827e+07 5.820e+07 1.403e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_04    430 5.827e+07 5.820e+07 1.421e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_05    430 5.827e+07 5.820e+07 1.422e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_07    430 5.827e+07 5.820e+07 1.415e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_08    430 5.827e+07 5.820e+07 1.421e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_09    430 5.827e+07 5.820e+07 1.423e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_10    430 5.827e+07 5.820e+07 1.423e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_11    430 5.827e+07 5.820e+07 1.424e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_14    430 5.827e+07 5.820e+07 1.424e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_15    430 5.827e+07 5.820e+07 1.424e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_17    430 5.827e+07 5.820e+07 1.424e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_18    430 5.827e+07 5.820e+07 1.424e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_20    430 5.827e+07 5.820e+07 1.424e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_21    430 5.827e+07 5.820e+07 1.424e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_22    430 5.827e+07 5.820e+07 1.424e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_24    430 5.827e+07 5.820e+07 1.424e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_25    430 5.827e+07 5.820e+07 1.424e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_26    430 5.827e+07 5.820e+07 1.424e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_27    430 5.827e+07 5.820e+07 1.424e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_28    430 5.827e+07 5.820e+07 1.424e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_29    430 5.827e+07 5.820e+07 1.424e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_30    430 5.827e+07 5.820e+07 1.424e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_31    430 5.827e+07 5.820e+07 1.424e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_33    430 5.827e+07 5.820e+07 1.424e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_34    430 5.827e+07 5.820e+07 1.424e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_35    430 5.827e+07 5.820e+07 1.424e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
3(L)                  oscil_dcop_36    430 5.827e+07 5.820e+07 1.424e+08 0.001128 0.000000 | 0.000 0.000 | 0 0
